dex_id,save_type,save_id,male_model_id,female_model_id,mapping_status,mapping_source
26,4,5,8,8,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
27,5,5,9,9,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
28,1,5,9,9,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
29,2,4,9,9,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
30,3,6,9,9,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
31,4,6,9,9,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
32,5,8,16,16,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
33,1,8,16,16,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
34,2,7,16,16,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
35,3,9,16,16,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
36,4,9,16,16,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
37,5,9,17,17,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
38,1,9,17,17,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
39,2,8,17,17,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
40,3,10,17,17,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
41,4,10,17,17,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
42,5,6,10,10,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
43,1,6,10,10,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
44,2,5,10,10,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
45,3,7,10,10,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
46,4,7,10,10,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
47,5,7,11,11,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
48,1,7,11,11,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
49,2,6,11,11,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
50,3,8,11,11,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
51,4,8,11,11,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
52,5,12,27,27,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
53,1,12,27,27,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
54,2,11,27,27,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
55,3,13,27,27,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
56,4,13,27,27,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
57,5,13,28,28,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
58,1,13,28,28,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
59,2,12,28,28,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
60,3,14,28,28,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
61,4,14,28,28,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
62,5,14,23,23,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
63,1,14,23,23,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
64,2,13,23,23,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
65,3,15,23,23,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
66,4,15,23,23,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
67,5,15,24,24,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
68,1,15,24,24,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
69,2,14,24,24,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
70,3,16,24,24,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
71,4,16,24,24,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
72,5,10,3,3,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
73,1,10,3,3,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
74,2,9,3,3,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
75,3,11,3,3,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
76,4,11,3,3,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
77,5,11,4,4,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
78,1,11,4,4,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
79,2,10,4,4,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
80,3,12,4,4,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
81,4,12,4,4,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
82,5,56,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
83,1,57,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
84,2,56,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
85,3,58,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
86,4,57,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
87,5,57,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
88,1,58,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
89,2,57,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
90,3,59,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
91,4,58,76,76,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
92,5,54,171,171,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
93,1,55,171,171,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
94,2,54,171,171,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
95,3,56,171,171,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
96,4,55,171,171,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
97,5,55,172,172,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
98,1,56,172,172,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
99,2,55,172,172,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
100,3,57,172,172,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
101,4,56,172,172,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
102,5,16,25,25,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
103,1,16,25,25,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
104,2,15,25,25,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
105,3,17,25,25,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
106,4,17,25,25,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
107,5,17,26,26,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
108,1,17,26,26,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
109,2,16,26,26,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
110,3,18,26,26,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
111,4,18,26,26,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
112,5,18,14,14,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
113,1,18,14,14,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
114,2,17,14,14,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
115,3,19,14,14,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
116,4,19,14,14,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
117,5,19,15,15,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
118,1,19,15,15,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
119,2,18,15,15,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
120,3,20,15,15,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
121,4,20,15,15,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
122,5,20,5,5,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
123,1,21,5,5,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
124,2,20,5,5,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
125,3,22,5,5,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
126,4,21,5,5,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
127,5,21,6,6,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
128,1,22,6,6,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
129,2,21,6,6,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
130,3,23,6,6,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
131,4,22,6,6,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
132,5,58,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
133,1,59,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
134,2,58,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
135,3,60,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
136,4,59,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
137,5,59,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
138,1,60,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
139,2,59,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
140,3,61,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
141,4,60,78,78,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
142,5,22,31,31,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
143,1,23,31,31,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
144,2,22,31,31,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
145,3,24,31,31,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
146,4,23,31,31,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
147,5,23,32,32,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
148,1,24,32,32,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
149,2,23,32,32,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
150,3,25,32,32,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
151,4,24,32,32,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
152,5,60,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
153,1,61,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
154,2,60,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
155,3,62,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
156,4,61,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
157,5,61,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
158,1,62,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
159,2,,77,77,exact_shared_appearance,dex-image-key-to-confirmed-exefs-model
160,3,63,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
161,4,62,77,77,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
162,5,24,29,29,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
163,1,25,29,29,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
164,2,24,29,29,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
165,3,26,29,29,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
166,4,25,29,29,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
167,5,25,30,30,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
168,1,26,30,30,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
169,2,25,30,30,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
170,3,27,30,30,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
171,4,,30,30,exact_shared_appearance,dex-image-key-to-confirmed-exefs-model
172,5,32,35,35,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
173,1,33,35,35,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
174,2,32,35,35,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
175,3,34,35,35,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
176,4,33,35,35,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
177,5,33,36,36,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
178,1,34,36,36,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
179,2,33,36,36,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
180,3,35,36,36,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
181,4,34,36,36,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
182,5,34,33,33,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
183,1,35,33,33,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
184,2,34,33,33,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
185,3,36,33,33,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
186,4,35,33,33,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
187,5,35,34,34,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
188,1,36,34,34,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
189,2,35,34,34,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
190,3,37,34,34,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
191,4,36,34,34,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
192,5,36,18,18,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
193,1,37,18,18,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
194,2,36,18,18,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
195,3,38,18,18,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
196,4,37,18,18,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
197,5,37,19,19,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
198,1,38,19,19,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
199,2,37,19,19,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
200,3,39,19,19,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
201,4,38,19,19,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
202,5,42,45,45,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
203,1,43,45,45,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
204,2,42,45,45,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
205,3,44,45,45,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
206,4,43,45,45,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
207,5,43,46,46,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
208,1,44,46,46,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
209,2,43,46,46,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
210,3,45,46,46,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
211,4,44,46,46,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
212,5,348,67,67,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
213,5,62,72,72,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
214,1,63,72,72,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
215,2,62,72,72,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
216,3,64,72,72,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
217,4,63,72,72,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
218,5,63,73,73,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
219,1,64,73,73,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
220,2,63,73,73,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
221,3,65,73,73,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
222,4,64,73,73,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
223,5,28,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
224,1,29,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
225,2,28,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
226,3,30,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
227,4,29,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
228,5,29,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
229,1,30,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
230,2,,59,0,exact_shared_appearance,dex-image-key-to-confirmed-exefs-model
231,3,31,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
232,4,30,59,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
233,5,30,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
234,1,31,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
235,2,30,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
236,3,32,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
237,4,31,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
238,5,31,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
239,1,32,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
240,2,31,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
241,3,33,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
242,4,32,0,59,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
243,5,38,39,39,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
244,1,39,39,39,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
245,2,38,39,39,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
246,3,40,39,39,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
247,4,39,39,39,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
248,5,39,40,40,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
249,1,40,40,40,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
250,2,39,40,40,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
251,3,41,40,40,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
252,4,40,40,40,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
253,5,40,41,41,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
254,1,41,41,41,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
255,2,40,41,41,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
256,3,42,41,41,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
257,4,41,41,41,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
258,5,41,42,42,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
259,1,42,42,42,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
260,2,41,42,42,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
261,3,43,42,42,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
262,4,42,42,42,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
263,5,64,74,74,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
264,1,65,74,74,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
265,2,64,74,74,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
266,3,66,74,74,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
267,4,65,74,74,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
268,5,65,75,75,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
269,1,66,75,75,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
270,2,65,75,75,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
271,3,67,75,75,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
272,4,66,75,75,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
273,5,44,43,43,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
274,1,45,43,43,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
275,2,44,43,43,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
276,3,46,43,43,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
277,4,45,43,43,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
278,5,45,44,44,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
279,1,46,44,44,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
280,2,45,44,44,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
281,3,47,44,44,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
282,4,46,44,44,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
283,5,46,47,47,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
284,1,47,47,47,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
285,2,46,47,47,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
286,3,48,47,47,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
287,4,47,47,47,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
288,5,47,48,48,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
289,1,48,48,48,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
290,2,47,48,48,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
291,3,49,48,48,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
292,4,48,48,48,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
293,5,48,51,51,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
294,1,49,51,51,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
295,2,48,51,51,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
296,3,50,51,51,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
297,4,49,51,51,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
298,5,49,52,52,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
299,1,50,52,52,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
300,2,49,52,52,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
301,3,51,52,52,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
302,4,50,52,52,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
303,5,50,49,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
304,1,51,49,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
305,2,50,49,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
306,3,52,49,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
307,4,51,49,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
308,5,51,50,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
309,1,52,50,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
310,2,51,50,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
311,3,53,50,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
312,4,52,50,0,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
313,5,52,0,49,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
314,1,53,0,49,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
315,2,52,0,49,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
316,3,54,0,49,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
317,4,53,0,49,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
318,5,53,0,50,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
319,1,54,0,50,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
320,2,53,0,50,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
321,3,55,0,50,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
322,4,54,0,50,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
323,5,73,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
324,1,76,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
325,2,75,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
326,3,75,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
327,4,76,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
328,5,74,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
329,1,77,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
330,2,76,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
331,3,76,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
332,4,77,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
333,5,133,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
334,1,137,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
335,2,132,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
336,3,136,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
337,4,136,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
338,5,134,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
339,1,138,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
340,2,133,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
341,3,137,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
342,4,137,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
343,5,77,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
344,1,78,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
345,2,77,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
346,3,79,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
347,4,80,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
348,5,78,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
349,1,79,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
350,2,78,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
351,3,80,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
352,4,81,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
353,1,80,7,7,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
354,3,81,7,7,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
355,4,82,7,7,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
356,1,,7,7,exact_shared_appearance,dex-image-key-to-confirmed-exefs-model
357,3,,7,7,exact_shared_appearance,dex-image-key-to-confirmed-exefs-model
